position,state,endorser,endorsee,endorser party,category,points,source
representative,MD,David Trone,John Delaney,D,Representatives,3,twitter
governor,NY,Andrew Cuomo,Joe Biden,D,Governors,8,cnn
senator,CA,Dianne Feinstein,Joe Biden,D,Senators,6,politico
senator,DE,Thomas R. Carper,Joe Biden,D,Senators,6,other
mayor,TX,Ron Nirenberg,Julian Castro,None,Mayors,3,other
DNC member,CA,Laphonza Butler,Kamala Harris,D,DNC members,1,politico
DNC member,DC,James J. Zogby,Bernie Sanders,D,DNC members,1,twitter
lieutenant governor,CA,Eleni Kounalakis,Kamala Harris,D,Statewide officeholders,2,twitter
mayor,CA,Libby Schaaf,Kamala Harris,D,Mayors,3,other
representative,CA,Ted Lieu,Kamala Harris,D,Representatives,3,other
representative,CA,Nanette Diaz Barragán,Kamala Harris,D,Representatives,3,twitter
senator,NJ,Robert Menendez,Cory Booker,D,Senators,6,twitter
governor,NJ,Phil Murphy,Cory Booker,D,Governors,8,other
DNC member,SC,Clay N. Middleton,Cory Booker,D,DNC members,1,other
past vice president,MN,Walter Mondale,Amy Klobuchar,D,Past presidents and vice presidents,10,other
president pro tem,CA,Toni Atkins,Kamala Harris,D,State legislative leaders,2,politico
representative,MA,James McGovern,Elizabeth Warren,D,Representatives,3,twitter
president,MA,Karen Spilka,Elizabeth Warren,D,State legislative leaders,2,other
representative,MA,Joseph P. Kennedy III,Elizabeth Warren,D,Representatives,3,other
representative,MA,Lori Trahan,Elizabeth Warren,D,Representatives,3,other
senator,MA,Edward J. Markey,Elizabeth Warren,D,Senators,6,other
state auditor,MN,Julie Blaha,Amy Klobuchar,D,Statewide officeholders,2,twitter
lieutenant governor,MN,Peggy Flanagan,Amy Klobuchar,D,Statewide officeholders,2,other
speaker,MN,Melissa Hortman,Amy Klobuchar,D,State legislative leaders,2,other
representative,MN,Dean Phillips,Amy Klobuchar,D,Representatives,3,twitter
representative,MN,Angie Craig,Amy Klobuchar,D,Representatives,3,twitter
mayor,MN,Jacob Frey,Amy Klobuchar,D,Mayors,3,other
senator,MN,Tina Smith,Amy Klobuchar,D,Senators,6,youtube
governor,MN,Tim Walz,Amy Klobuchar,D,Governors,8,youtube
representative,CA,Barbara Lee,Kamala Harris,D,Representatives,3,cnn
governor,CA,Gavin Newsom,Kamala Harris,D,Governors,8,politico
lieutenant governor,VT,David Zuckerman,Bernie Sanders,D,Statewide officeholders,2,twitter
representative,VT,Peter Welch,Bernie Sanders,D,Representatives,3,other
senator,VT,Patrick J. Leahy,Bernie Sanders,D,Senators,6,apnews
DNC member,TX,Emmy Ruiz,Kamala Harris,D,DNC members,1,politico
DNC member,DC,Larry Cohen,Bernie Sanders,D,DNC members,1,other
mayor,PR,Carmen Yulín Cruz,Bernie Sanders,D,Mayors,3,twitter
DNC member,OH,Nina Turner,Bernie Sanders,D,DNC members,1,other
DNC member,NJ,Marguerite M. Schaffer,Cory Booker,D,DNC members,1,other
DNC member,NJ,John Currie,Cory Booker,D,DNC members,1,other
lieutenant governor,NJ,Sheila Oliver,Cory Booker,D,Statewide officeholders,2,other
president,NJ,Stephen Sweeney,Cory Booker,D,State legislative leaders,2,other
speaker,NJ,Craig Coughlin,Cory Booker,D,State legislative leaders,2,other
representative,NJ,Bonnie Watson Coleman,Cory Booker,D,Representatives,3,other
representative,NJ,Mikie Sherrill,Cory Booker,D,Representatives,3,other
representative,NJ,Bill Pascrell Jr.,Cory Booker,D,Representatives,3,other
representative,NJ,Albio Sires,Cory Booker,D,Representatives,3,other
representative,NJ,Frank Pallone Jr.,Cory Booker,D,Representatives,3,other
representative,NJ,Josh Gottheimer,Cory Booker,D,Representatives,3,other
representative,NJ,Andy Kim,Cory Booker,D,Representatives,3,other
representative,NJ,Jeff Van Drew,Cory Booker,R,Representatives,3,other
representative,NJ,Donald Norcross,Cory Booker,D,Representatives,3,other
representative,CA,Ro Khanna,Bernie Sanders,D,Representatives,3,other
superintendent of public instruction,CA,Tony Thurmond,Kamala Harris,D,Statewide officeholders,2,politico
insurance commissioner,CA,Ricardo Lara,Kamala Harris,D,Statewide officeholders,2,politico
senator,DE,Christopher A. Coons,Joe Biden,D,Senators,6,other
representative,CA,Juan Vargas,John Delaney,D,Representatives,3,twitter
representative,CA,Julia Brownley,Kamala Harris,D,Representatives,3,other
attorney general,WA,Bob Ferguson,Jay Inslee,D,Statewide officeholders,2,other
representative,WA,Rick Larsen,Jay Inslee,D,Representatives,3,other
attorney general,DC,Karl Racine,Kamala Harris,D,Statewide officeholders,2,other
representative,TX,Veronica Escobar,Beto O'Rourke,D,Representatives,3,other
representative,NY,Carolyn Maloney,Kirsten Gillibrand,D,Representatives,3,twitter
DNC member,CA,Susie A. Shannon,Bernie Sanders,D,DNC members,1,other
former DNC chair,MA,Steven Grossman,Pete Buttigieg,D,Former party leaders,5,other
DNC member,NJ,Bernadette P. McPherson,Cory Booker,D,DNC members,1,other
DNC member,NJ,John Graham,Cory Booker,D,DNC members,1,other
DNC member,OH,Nan Whaley,Pete Buttigieg,D,DNC members,1,other
mayor,TX,Steve Adler,Pete Buttigieg,D,Mayors,3,other
DNC member,MI,Michelle Deatrick,Bernie Sanders,D,DNC members,1,other
DNC member,MA,Kate Donaghue,Elizabeth Warren,D,DNC members,1,other
representative,MA,Stephen F. Lynch,Joe Biden,D,Representatives,3,twitter
former DNC chair,PA,Ed Rendell,Joe Biden,D,Former party leaders,5,twitter
representative,VA,Don Beyer,Pete Buttigieg,D,Representatives,3,other
representative,PA,Matt Cartwright,Joe Biden,D,Representatives,3,other
DNC member,DC,Symone Sanders,Joe Biden,D,DNC members,1,apnews
DNC member,DC,Cristobal J. Alex,Joe Biden,D,DNC members,1,twitter
attorney general,DE,Kathy Jennings,Joe Biden,D,Statewide officeholders,2,other
representative,PA,Dwight Evans,Joe Biden,D,Representatives,3,other
representative,PA,Brendan Boyle,Joe Biden,D,Representatives,3,twitter
representative,NY,Thomas Suozzi,Joe Biden,D,Representatives,3,twitter
representative,LA,Cedric Richmond,Joe Biden,D,Representatives,3,other
representative,DE,Lisa Blunt Rochester,Joe Biden,D,Representatives,3,twitter
senator,PA,Robert P. Casey Jr.,Joe Biden,D,Senators,6,twitter
senator,AL,Doug Jones,Joe Biden,D,Senators,6,twitter
governor,DE,John Carney,Joe Biden,D,Governors,8,other
past presidential nominee,MA,Michael Dukakis,Elizabeth Warren,D,Past nominees,5,other
representative,VA,A. Donald McEachin,Joe Biden,D,Representatives,3,other
state controller,NV,Catherine Byrne,Elizabeth Warren,D,Statewide officeholders,2,twitter
representative,TX,Filemon Vela,Joe Biden,D,Representatives,3,twitter
former U.S. Senate majority leader,SD,Tom Daschle,Joe Biden,D,Former party leaders,5,other
representative,WA,Kim Schrier,Jay Inslee,D,Representatives,3,twitter
speaker,CA,Anthony Rendon,Kamala Harris,D,State legislative leaders,2,twitter
representative,FL,Al Lawson,Joe Biden,D,Representatives,3,politico
senator,MT,Jon Tester,Steve Bullock,D,Senators,6,other
DNC member,NJ,George E. Norcross III,Cory Booker,D,DNC members,1,other
representative,CA,Jim Costa,Kamala Harris,D,Representatives,3,other
representative,WA,Derek Kilmer,Jay Inslee,D,Representatives,3,twitter
representative,TX,Al Green,Kamala Harris,D,Representatives,3,politico
representative,MO,William Lacy Clay Jr.,Kamala Harris,D,Representatives,3,cnn
DNC member,IA,Jan M. Bauer,Steve Bullock,D,DNC members,1,politico
DNC member,MI,Barry J. Goodman,Joe Biden,D,DNC members,1,twitter
